Generation,BestCost
0,127.189
1,177.96
2,218.456
3,218.456
4,222.13
5,272.902
6,272.902
7,272.902
8,272.902
9,281.427
10,321.923
11,321.923
12,321.923
13,321.923
14,321.923
15,321.923
16,321.923
17,321.923
18,330.376
19,330.376
20,334.05
21,384.822
22,384.822
23,384.822
24,384.822
25,384.822
26,384.822
27,384.822
28,384.822
29,384.822
30,384.822
31,384.822
32,384.822
33,384.822
34,384.822
35,384.822
36,384.822
37,399.77
38,399.77
39,399.77
40,399.77
41,408.296
42,448.791
43,448.791
44,448.791
45,448.791
46,448.791
47,448.791
48,448.791
49,448.791
50,448.791
51,448.791
52,448.791
53,448.791
54,448.791
55,448.791
56,448.791
57,448.791
58,448.791
59,448.791
60,448.791
61,448.791
62,448.791
63,448.791
64,448.791
65,448.791
66,448.791
67,448.791
68,448.791
69,448.791
70,448.791
71,448.791
72,448.791
73,448.791
74,459.474
75,459.474
76,459.474
77,459.474
78,459.474
79,459.474
80,459.474
81,459.474
82,467.927
83,467.927
84,471.601
85,522.372
86,522.372
87,522.372
88,522.372
89,522.372
90,522.372
91,522.372
92,522.372
93,522.372
94,522.372
95,522.372
96,522.372
97,522.372
98,522.372
99,522.372
100,522.372
101,522.372
102,522.372
103,522.372
104,522.372
105,522.372
106,522.372
107,522.372
108,522.372
109,522.372
110,522.372
111,522.372
112,522.372
113,522.372
114,522.372
115,522.372
116,522.372
117,522.372
118,522.372
119,522.372
120,522.372
121,522.372
122,522.372
123,522.372
124,522.372
125,522.372
126,522.372
127,522.372
128,522.372
129,522.372
130,522.372
131,522.372
132,522.372
133,522.372
134,522.372
135,522.372
136,522.372
137,522.372
138,522.372
139,522.372
140,522.372
141,522.372
142,522.372
143,522.372
144,522.372
145,522.372
146,522.372
147,522.372
148,522.372
149,526.233
150,526.233
151,526.233
152,526.233
153,526.233
154,526.233
155,526.233
156,526.233
157,526.233
158,526.233
159,526.233
160,526.233
161,526.233
162,526.233
163,526.233
164,526.233
165,541.182
166,541.182
167,541.182
168,541.182
169,549.708
170,590.203
171,590.203
172,590.203
173,590.203
174,590.203
175,590.203
176,590.203
177,590.203
178,590.203
179,590.203
180,590.203
181,590.203
182,590.203
183,590.203
184,590.203
185,590.203
186,590.203
187,590.203
188,590.203
189,590.203
190,590.203
191,590.203
192,590.203
193,590.203
194,590.203
195,590.203
196,590.203
197,590.203
198,590.203
199,590.203
200,590.203
201,590.203
202,590.203
203,590.203
204,590.203
205,590.203
206,590.203
207,590.203
208,590.203
209,590.203
210,590.203
211,590.203
212,590.203
213,590.203
214,590.203
215,590.203
216,590.203
217,590.203
218,590.203
219,590.203
220,590.203
221,590.203
222,590.203
223,590.203
224,590.203
225,590.203
226,590.203
227,590.203
228,590.203
229,590.203
230,590.203
231,590.203
232,590.203
233,590.203
234,590.203
235,590.203
236,590.203
237,590.203
238,590.203
239,590.203
240,590.203
241,590.203
242,590.203
243,590.203
244,590.203
245,590.203
246,590.203
247,590.203
248,590.203
249,590.203
250,590.203
251,590.203
252,590.203
253,590.203
254,590.203
255,590.203
256,590.203
257,590.203
258,590.203
259,590.203
260,590.203
261,590.203
262,590.203
263,590.203
264,590.203
265,590.203
266,590.203
267,590.203
268,590.203
269,590.203
270,590.203
271,590.203
272,590.203
273,590.203
274,590.203
275,590.203
276,590.203
277,590.203
278,590.203
279,590.203
280,590.203
281,590.203
282,590.203
283,590.203
284,590.203
285,590.203
286,590.203
287,590.203
288,590.203
289,590.203
290,590.203
291,590.203
292,590.203
293,590.203
294,590.203
295,590.203
296,590.203
297,590.203
298,598.218
299,598.218
300,598.218
301,598.218
302,598.218
303,598.218
304,598.218
305,598.218
306,598.218
307,598.218
308,598.218
309,598.218
310,598.218
311,598.218
312,598.218
313,598.218
314,598.218
315,598.218
316,598.218
317,598.218
318,598.218
319,598.218
320,598.218
321,598.218
322,598.218
323,598.218
324,598.218
325,598.218
326,598.218
327,598.218
328,598.218
329,598.218
330,608.9
331,608.9
332,608.9
333,608.9
334,608.9
335,608.9
336,608.9
337,608.9
338,617.353
339,617.353
340,621.027
341,671.798
342,671.798
343,671.798
344,671.798
345,671.798
346,671.798
347,671.798
348,671.798
349,671.798
350,671.798
351,671.798
352,671.798
353,671.798
354,671.798
355,671.798
356,671.798
357,671.798
358,671.798
359,671.798
360,671.798
361,671.798
362,671.798
363,671.798
364,671.798
365,671.798
366,671.798
367,671.798
368,671.798
369,671.798
370,671.798
371,671.798
372,671.798
373,671.798
374,671.798
375,671.798
376,671.798
377,671.798
378,671.798
379,671.798
380,671.798
381,671.798
382,671.798
383,671.798
384,671.798
385,671.798
386,671.798
387,671.798
388,671.798
389,671.798
390,671.798
391,671.798
392,671.798
393,671.798
394,671.798
395,671.798
396,671.798
397,671.798
398,671.798
399,671.798
400,671.798
401,671.798
402,671.798
403,671.798
404,671.798
405,671.798
406,671.798
407,671.798
408,671.798
409,671.798
410,671.798
411,671.798
412,671.798
413,671.798
414,671.798
415,671.798
416,671.798
417,671.798
418,671.798
419,671.798
420,671.798
421,671.798
422,671.798
423,671.798
424,671.798
425,671.798
426,671.798
427,671.798
428,671.798
429,671.798
430,671.798
431,671.798
432,671.798
433,671.798
434,671.798
435,671.798
436,671.798
437,671.798
438,671.798
439,671.798
440,671.798
441,671.798
442,671.798
443,671.798
444,671.798
445,671.798
446,671.798
447,671.798
448,671.798
449,671.798
450,671.798
451,671.798
452,671.798
453,671.798
454,671.798
455,671.798
456,671.798
457,671.798
458,671.798
459,671.798
460,671.798
461,671.798
462,671.798
463,671.798
464,671.798
465,671.798
466,671.798
467,671.798
468,671.798
469,671.798
470,671.798
471,671.798
472,671.798
473,671.798
474,671.798
475,671.798
476,671.798
477,671.798
478,671.798
479,671.798
480,671.798
481,671.798
482,671.798
483,671.798
484,671.798
485,671.798
486,671.798
487,671.798
