Generation,Sorted,Random
0,724.209,733.259
1,724.209,733.259
2,768.273,733.259
3,768.273,733.259
4,787.262,890.248
5,825.003,890.248
6,837.257,890.248
7,845.204,890.248
8,845.204,890.248
9,845.204,890.248
10,888.752,890.248
11,888.752,890.248
12,888.752,890.248
13,888.752,890.248
14,888.752,890.248
15,888.752,890.248
16,888.752,890.248
17,888.752,890.248
18,888.752,890.248
19,888.752,890.248
20,888.752,890.248
21,888.752,890.248
22,888.752,890.248
23,888.752,890.248
24,888.752,890.248
25,888.752,890.248
26,888.752,890.248
27,907.448,890.248
28,907.448,890.248
29,975.96,890.248
30,975.96,890.248
31,975.96,890.248
32,975.96,890.248
33,975.96,890.248
34,975.96,890.248
35,975.96,890.248
36,975.96,890.248
37,975.96,890.248
38,975.96,890.248
39,975.96,890.248
40,975.96,890.248
41,975.96,890.248
42,975.96,890.248
43,975.96,890.248
44,975.96,890.248
45,998.756,890.248
46,998.756,890.248
47,998.756,890.248
48,998.756,890.248
49,998.756,890.248
50,998.756,890.248
51,998.756,890.248
52,998.756,890.248
53,998.756,890.248
54,998.756,890.248
55,998.756,890.248
56,998.756,890.248
57,998.756,890.248
58,998.756,890.248
59,998.756,890.248
60,998.756,890.248
61,998.756,890.248
62,998.756,890.248
63,998.756,890.248
64,998.756,890.248
65,998.756,890.248
66,998.756,890.248
67,998.756,890.248
68,998.756,890.248
69,998.756,890.248
70,998.756,890.248
71,998.756,890.248
72,998.756,890.248
73,998.756,890.248
74,998.756,890.248
75,998.756,890.248
76,998.756,890.248
77,998.756,890.248
78,998.756,890.248
79,998.756,890.248
80,998.756,890.248
81,998.756,890.248
82,998.756,890.248
83,998.756,890.248
84,998.756,890.248
85,998.756,890.248
86,998.756,890.248
87,998.756,890.248
88,998.756,890.248
89,998.756,890.248
90,998.756,890.248
91,998.756,890.248
92,998.756,890.248
93,998.756,890.248
94,998.756,890.248
95,998.756,890.248
96,998.756,890.248
97,998.756,890.248
98,998.756,890.248
99,998.756,890.248
100,998.756,890.248
