Generation,Sorted,Random
0,788.631,855.079
1,788.631,855.079
2,808.821,855.079
3,850.09,855.079
4,922.435,871.199
5,922.435,871.199
6,922.435,871.199
7,922.435,871.199
8,922.435,871.199
9,922.435,871.199
10,922.435,871.199
11,922.435,871.199
12,922.435,871.199
13,922.435,871.199
14,922.435,871.199
15,922.435,871.199
16,922.435,871.199
17,922.435,871.199
18,922.435,871.199
19,922.435,871.199
20,922.435,871.199
21,922.435,871.199
22,922.435,871.199
23,922.435,871.199
24,922.435,871.199
25,923.618,871.199
26,923.618,871.199
27,923.618,871.199
28,923.618,871.199
29,923.618,871.199
30,923.618,871.199
31,923.618,871.199
32,923.618,871.199
33,923.618,871.199
34,923.618,871.199
35,923.618,871.199
36,923.618,871.199
37,923.618,871.199
38,923.618,871.199
39,923.618,871.199
40,923.618,871.199
41,923.618,871.199
42,923.618,871.199
43,923.618,871.199
44,923.618,871.199
45,923.618,871.199
46,923.618,871.199
47,923.618,871.199
48,923.618,871.199
49,923.618,871.199
50,923.618,871.199
51,923.618,871.199
52,923.618,871.199
53,923.618,871.199
54,923.618,871.199
55,923.618,871.199
56,923.618,871.199
57,923.618,871.199
58,923.618,871.199
59,923.618,871.199
60,923.618,871.199
61,923.618,871.199
62,923.618,871.199
63,923.618,871.199
64,950.844,871.199
65,950.844,871.199
66,950.844,871.199
67,950.844,871.199
68,950.844,871.199
69,950.844,871.199
70,950.844,871.199
71,950.844,871.199
72,950.844,871.199
73,950.844,871.199
74,950.844,871.199
75,950.844,871.199
76,950.844,871.199
77,950.844,871.199
78,950.844,871.199
79,950.844,871.199
80,950.844,871.199
81,950.844,871.199
82,950.844,871.199
83,950.844,871.199
84,950.844,871.199
85,950.844,871.199
86,950.844,871.199
87,950.844,871.199
88,950.844,871.199
89,950.844,871.199
90,950.844,871.199
91,950.844,871.199
92,950.844,871.199
93,950.844,871.199
94,950.844,871.199
95,950.844,871.199
96,950.844,871.199
97,950.844,871.199
98,950.844,871.199
99,950.844,871.199
100,950.844,871.199
