Generation,Sorted,Random
0,685.21,819.736
1,765.574,819.736
2,765.574,819.736
3,806.014,819.736
4,827.622,819.736
5,827.622,819.736
6,890.527,819.736
7,890.527,819.736
8,890.527,819.736
9,890.527,819.736
10,890.527,819.736
11,890.527,819.736
12,890.527,819.736
13,890.527,819.736
14,890.527,819.736
15,890.527,819.736
16,901.997,819.736
17,901.997,819.736
18,901.997,819.736
19,901.997,819.736
20,901.997,819.736
21,901.997,819.736
22,901.997,819.736
23,901.997,819.736
24,901.997,819.736
25,901.997,819.736
26,901.997,819.736
27,901.997,819.736
28,901.997,819.736
29,901.997,819.736
30,901.997,819.736
31,901.997,819.736
32,923.955,819.736
33,940.955,819.736
34,940.955,819.736
35,940.955,819.736
36,940.955,819.736
37,940.955,819.736
38,940.955,819.736
39,940.955,819.736
40,940.955,819.736
41,940.955,819.736
42,940.955,819.736
43,940.955,819.736
44,940.955,819.736
45,940.955,819.736
46,940.955,819.736
47,940.955,819.736
48,940.955,819.736
49,940.955,819.736
50,942.83,819.736
51,942.83,819.736
52,942.83,819.736
53,942.83,819.736
54,942.83,819.736
55,942.83,819.736
56,942.83,819.736
57,942.83,819.736
58,942.83,819.736
59,1015.87,819.736
60,1015.87,819.736
61,1015.87,819.736
62,1015.87,819.736
63,1015.87,819.736
64,1015.87,819.736
65,1015.87,819.736
66,1015.87,819.736
67,1015.87,819.736
68,1015.87,819.736
69,1015.87,819.736
70,1015.87,819.736
71,1015.87,819.736
72,1015.87,819.736
73,1015.87,819.736
74,1015.87,819.736
75,1015.87,819.736
76,1015.87,819.736
77,1015.87,819.736
78,1015.87,819.736
79,1015.87,819.736
80,1015.87,819.736
81,1015.87,819.736
82,1015.87,819.736
83,1015.87,819.736
84,1015.87,819.736
85,1015.87,819.736
86,1015.87,819.736
87,1015.87,819.736
88,1015.87,819.736
89,1015.87,819.736
90,1015.87,819.736
91,1015.87,819.736
92,1015.87,819.736
93,1015.87,819.736
94,1015.87,819.736
95,1015.87,819.736
96,1015.87,819.736
97,1015.87,819.736
98,1015.87,819.736
99,1015.87,819.736
100,1015.87,819.736
